frase,glosa predicha,glosa real,eq?,accuracy-score,
bi'μngí yι mbμhí nge hín dímáné gwaporá nge dímádáhní,"[[['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl'], [['nge', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dí', '1.icp'], ['má', 'ctrf'], ['né', 'stem'], 'v'], [['gwa', '1.icp.irr'], ['porá', 'stem'], 'v'], [['nge', 'stem'], 'cnj'], [['dí', '1.icp'], ['má', 'ctrf'], ['dáhní', 'stem'], 'v']]","[[['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl'], [['nge', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dí', '1.icp'], ['má', 'ctrf'], ['né', 'stem'], 'v'], [['gwa', '1.icp.irr'], ['porá', 'stem'], 'v'], [['nge', 'stem'], 'cnj'], [['dí', '1.icp'], ['má', 'ctrf'], ['dáhní', 'stem'], 'v']]",True,1,
por eso ngamá'μngí,"[[['por', 'stem'], 'obl'], [['eso', 'stem'], 'obl'], [['n', 'psd'], ['ga', '3.pls'], ['má', 'ctrf'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v']]","[[['por', 'stem'], 'obl'], [['eso', 'stem'], 'obl'], [['n', 'psd'], ['ga', '3.pls'], ['má', 'ctrf'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v']]",True,1,
bμ mbi'μngí ya dóráhiι'wi,"[[['bμ', 'stem'], 'cnj'], [['m', 'med'], ['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['ya', 'stem'], 'cnj'], [['dó', '1.cpl'], ['ráhi', 'stem'], [""ι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['bμ', 'stem'], 'cnj'], [['m', 'med'], ['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['ya', 'stem'], 'cnj'], [['dó', '1.cpl'], ['ráhi', 'stem'], [""ι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1,USADO
hín dóné dópεhyι'wi,"[[['hín', 'stem'], 'neg'], [['dó', '1.cpl'], ['né', 'stem'], 'v'], [['dó', '1.cpl'], ['pε', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['hín', 'stem'], 'neg'], [['dó', '1.cpl'], ['né', 'stem'], 'v'], [['dó', '1.cpl'], ['pε', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1,
despwés ya dómμihthó mängú,"[[['despwés', 'stem'], 'obl'], [['ya', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'v'], [['mä', '1.pss'], ['ngú', 'stem'], 'n']]","[[['despwés', 'stem'], 'obl'], [['ya', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'v'], [['mä', '1.pss'], ['ngú', 'stem'], 'n']]",True,1,
bopihkí yι k'iñá,"[[['bo', '3.cpl'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [[""k'iñá"", 'stem'], 'obl']]","[[['bo', '3.cpl'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [[""k'iñá"", 'stem'], 'obl']]",True,1,
dótsú,"[[['dó', '1.cpl'], ['tsú', 'stem'], 'v']]","[[['dó', '1.cpl'], ['tsú', 'stem'], 'v']]",True,1,
mähank'ι dórágí,"[[[""mähank'ι"", 'stem'], 'obl'], [['dó', '1.cpl'], ['rá', 'stem'], ['gí', '1.obj'], 'v']]","[[[""mähank'ι"", 'stem'], 'obl'], [['dó', '1.cpl'], ['rá', 'stem'], ['gí', '1.obj'], 'v']]",True,1,
digehñawi pidómμihthówi,"[[['di', 'prt'], ['gehña', 'mod'], ['wi', 'prag'], 'unkwn'], [['pi', 'it'], ['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], ['wi', 'prag'], 'v']]","[[['di', 'prt'], ['gehña', 'mod'], ['wi', 'prag'], 'unkwn'], [['pi', 'it'], ['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], ['wi', 'prag'], 'v']]",True,1,
xathó dóphädi xo binkhμskí,"[[['xathó', 'stem'], 'obl'], [['dó', '1.cpl'], ['phädi', 'stem'], 'v'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμskí', 'stem'], 'v']]","[[['xathó', 'stem'], 'obl'], [['dó', '1.cpl'], ['phädi', 'stem'], 'v'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμskí', 'stem'], 'v']]",True,1,
