frase,glosa predicha,glosa real,accuracy-score,
bianda pobrehí,"[[['bi', '3.cpl'], ['anda', 'stem'], 'v'], [['pobre', 'stem'], ['hí', 'pl'], 'unkwn']]","[[['bi', '3.cpl'], ['anda', 'prt'], 'v'], [['pobre', 'stem'], ['hí', 'pl'], 'unkwn']]",False,0.692307692307692
mihtsú,"[[['mihtsú', 'stem'], 'v']]","[[['m', 'psd'], ['i', '3.icp'], ['h', 'lig'], ['tsú', 'stem'], 'v']]",False,0.333333333333333
té gothó mikhá níwimá,"[[['té', 'stem'], 'obl'], [['gothó', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['níwimá', 'stem'], 'unkwn']]","[[['té', 'stem'], 'obl'], [['gothó', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [['ní', 'stem'], ['wi', 'prag'], ['má', 'prt'], 'unkwn']]",False,0.777777777777778
mehórthó komokáyι' nι rι tsilugár,"[[['mehór', 'stem'], ['thó', 'ila'], 'unkwn'], [['komoká', 'stem'], [""yι'"", 'lim'], 'v'], [['nι', 'stem'], 'det'], [['rι', 'det'], 'det'], [['tsi', 'dim'], ['lugár', 'stem'], 'unkwn']]","[[['mehór', 'stem'], ['thó', 'ila'], 'unkwn'], [['komoká', 'stem'], [""yι'"", 'lim'], 'v'], [['nι', 'det'], 'det'], [['rι', 'det'], 'det'], [['tsi', 'dim'], ['lugár', 'lugar/v'], 'unkwn']]",False,0.758620689655172
xayi xathó mä dénda tantsμhní,"[[['xayi', 'stem'], 'obl'], [['xathó', 'stem'], 'obl'], [['mä', 'stem'], 'prt'], [['dénda', 'prt'], 'obl'], [['ta', 'mod'], ['ntsμhní', 'toluca'], 'unkwn']]","[[['xayi', 'stem'], 'obl'], [['xathó', 'stem'], 'obl'], [['mä', 'stem'], 'prt'], [['dénda', 'stem'], 'obl'], [['ta', 'mod'], ['ntsμhní', 'toluca'], 'unkwn']]",False,0.8
xayi nι xo,"[[['xayi', 'stem'], 'obl'], [['nι', 'stem'], 'det'], [['xo', 'stem'], 'cnj']]","[[['xayi', 'stem'], 'obl'], [['nι', 'det'], 'det'], [['xo', 'stem'], 'cnj']]",False,0.75
'ábimákhá,"[[[""'á"", 'stem'], ['bi', '3.cpl'], ['má', 'ctrf'], ['khá', 'stem'], 'v']]","[[[""'á"", 'como'], ['bi', '3.cpl'], ['má', 'ctrf'], ['khá', 'stem'], 'v']]",False,0.777777777777778
bizμhí nι dúnthí,"[[['bi', '3.cpl'], ['zμhí', 'stem'], 'v'], [['nι', 'stem'], 'det'], [['dúnthí', 'stem'], 'obl']]","[[['bi', '3.cpl'], ['zμ', 'stem'], ['hí', 'pl'], 'v'], [['nι', 'det'], 'det'], [['dúnthí', 'stem'], 'obl']]",False,0.714285714285714
takhμxyι' xogígé,"[[['ta', 'hasta'], ['khμx', 'stem'], [""yι'"", 'lim'], 'v'], [['xo', 'stem'], ['gí', '1.obj'], ['gé', '2.enf'], 'v']]","[[['ta', '1.pls'], ['khμx', 'stem'], [""yι'"", 'lim'], 'v'], [['xo', 'stem'], ['gígé', '3.sg'], 'v']]",False,0.6
hímbi'ódi hímbigäi k'ι rι mμi,"[[['hím', 'stem'], ['bi', '3.cpl'], [""'ódi"", 'stem'], 'v'], [['hímbigäi', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['mμi', 'stem'], 'obl']]","[[['hím', 'neg'], ['bi', '3.cpl'], [""'ódi"", 'stem'], 'v'], [['hím', 'neg'], ['bi', '3.cpl'], ['gäi', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['mμi', 'stem'], 'obl']]",False,0.64
nuní,"[[['nuní', 'stem'], 'det']]","[[['nuní', 'det.dem'], 'det']]",False,0
bεhthó bεhthó,"[[['bε', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'unkwn'], [['bε', 'stem'], ['h', 'lig'], ['thó', 'neg'], 'unkwn']]","[[['bε', 'stem'], ['h', 'lig'], ['thó', 'neg'], 'unkwn'], [['bε', 'stem'], ['h', 'lig'], ['thó', 'neg'], 'unkwn']]",False,0.75
genk'ι hí miné khánι,"[[['gen', 'dem'], [""k'ι"", 'dem'], 'obl'], [['hí', 'stem'], 'neg'], [['m', 'psd'], ['i', '3.icp'], ['né', 'stem'], 'v'], [['khá', 'stem'], ['nι', 'dem'], 'v']]","[[[""genk'ι"", 'stem'], 'obl'], [['hí', 'stem'], 'neg'], [['m', 'psd'], ['i', '3.icp'], ['né', 'stem'], 'v'], [['khá', 'stem'], ['nι', 'dem'], 'v']]",False,0.647058823529412
i siempre genk'ι ndímápεhmék'ι,"[[['i', 'stem'], 'cnj'], [['siempre', 'stem'], 'obl'], [['gen', 'dem'], [""k'ι"", 'dem'], 'dem'], [['n', 'psd'], ['dí', '1.icp'], ['má', 'ctrf'], ['pε', 'stem'], ['h', 'lig'], ['mé', 'pl.exc'], [""k'ι"", 'dem'], 'v']]","[[['i', 'stem'], 'cnj'], [['siempre', 'stem'], 'obl'], [[""genk'ι"", 'stem'], 'dem'], [['n', 'psd'], ['dí', '1.icp'], ['má', 'ctrf'], ['pε', 'stem'], ['h', 'lig'], ['mé', 'pl.exc'], [""k'ι"", 'dem'], 'v']]",False,0.777777777777778
i pues gothó genk'ι ndímápεhmé k'ι,"[[['i', 'stem'], 'cnj'], [['pues', 'stem'], 'cnj'], [['gothó', 'stem'], 'obl'], [['gen', 'dem'], [""k'ι"", 'dem'], 'dem'], [['n', 'psd'], ['dí', '1.icp'], ['má', 'ctrf'], ['pε', 'stem'], ['h', 'lig'], ['mé', 'pl.exc'], 'v'], [[""k'ι"", 'stem'], 'dem']]","[[['i', 'stem'], 'cnj'], [['pues', 'stem'], 'cnj'], [['gothó', 'stem'], 'obl'], [[""genk'ι"", 'stem'], 'dem'], [['n', 'psd'], ['dí', '1.icp'], ['má', 'ctrf'], ['pε', 'stem'], ['h', 'lig'], ['mé', 'pl.exc'], 'v'], [[""k'ι"", 'stem'], 'dem']]",False,0.793103448275862
mbrιndμboni,"[[['m', 'psd'], ['b', 'lig'], ['rι', '3.cnt'], ['ndμ', 'stem'], ['boni', 'stem'], 'v']]","[[['m', 'psd'], ['b', 'lig'], ['rι', '3.cnt'], ['ndμ', 'muy'], ['boni', 'stem'], 'v']]",False,0.727272727272727
mipμni panahpá,"[[['m', 'psd'], ['i', '3.icp'], ['pμni', 'stem'], 'v'], [['panahpá', 'stem'], 'unkwn']]","[[['m', 'psd'], ['i', '3.icp'], ['pμni', 'stem'], 'v'], [['pa', 'mod'], ['nahpá', 'stem'], 'unkwn']]",False,0.769230769230769
ndadúnthμ yι khäní,"[[['n', 'psd'], ['da', '3.pot'], ['dúnthμ', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['khäní', 'stem'], 'obl']]","[[['n', 'psd'], ['da', '3.pot'], ['dú', 'stem'], ['nthμ', 'prt'], 'v'], [['yι', 'det.pl'], 'det'], [['khäní', 'stem'], 'obl']]",False,0.75
binihkí,"[[['bi', '3.cpl'], ['nihkí', 'stem'], 'v']]","[[['bi', '3.cpl'], ['nih', 'stem'], ['kí', '1.obj'], 'v']]",False,0.714285714285714
gotúx mähmí,"[[['go', '1.pot'], ['túx', 'stem'], 'v'], [['mä', '1.pss'], ['h', 'lig'], ['mí', 'pl'], 'n']]","[[['go', '1.pot'], ['túx', 'stem'], 'v'], [['mä', '1.pss'], ['hmí', 'stem'], 'n']]",False,0.7
ibé,"[[['ibé', 'stem'], 'v']]","[[['i', '3.icp'], ['bé', 'stem'], 'v']]",False,0.333333333333333
to hä k'ι rι,"[[['to', 'stem'], 'obl'], [['hä', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'obl']]","[[['to', 'stem'], 'obl'], [['hä', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'stem'], 'obl']]",False,0.777777777777778
padú,"[[['padú', 'stem'], 'v']]","[[['pa', '3.prf'], ['dú', 'stem'], 'v']]",False,0.25
ximo,"[[['ximo', 'stem'], 'v']]","[[['xi', '3.prf'], ['mo', 'stem'], 'v']]",False,0.25
