frase,glosa predicha,glosa real,eq?,accuracy-score,
ibé,['ERROR'],"[[['i', '3.icp'], ['bé', 'stem'], 'v']]",False,0,
a trιmáyι'wi,['ERROR'],"[[['a', 'stem'], 'obl'], [['trι', '3.cpl.irr'], ['má', 'stem'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",False,0.545454545454545,
i bithó pa nι rι chái,['ERROR'],"[[['i', 'stem'], 'cnj'], [['bi', '3.cpl'], ['thó', 'stem'], 'v'], [['pa', 'stem'], 'obl'], [['nι', 'det'], 'det'], [['rι', 'det'], 'det'], [['chái', 'stem'], 'obl']]",False,0.625,
a bese yι déhé tamák'áhkíhéwa,['ERROR'],"[[['a', 'stem'], 'obl'], [['bese', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['déhé', 'stem'], 'obl'], [['ta', '1.pls'], ['má', 'ctrf'], [""k'áhkí"", 'stem'], ['hé', 'pl.exc'], ['wa', 'aqui'], 'v']]",False,0.64,
i mindμnι yι ndäni mäpahpá,['ERROR'],"[[['i', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['ndμ', 'stem'], ['nι', 'dem'], 'v'], [['yι', 'det.pl'], 'det'], [['ndäni', 'stem'], 'obl'], [['mä', '1.pss'], ['pahpá', 'stem'], 'n']]",False,0.727272727272727,
i yι tsiléngu tsi'wene níhí,['ERROR'],"[[['i', 'stem'], 'cnj'], [['yι', 'det.pl'], 'det'], [['tsi', 'dim'], ['léngu', 'stem'], 'unkwn'], [['tsi', 'dim'], [""'wene"", 'stem'], 'unkwn'], [['níhí', 'stem'], 'obl']]",False,0.782608695652174,
i dímarkáhé tónse gohwéthé ko ná rι puro rι xo tsi medio Rayathó,['ERROR'],"[[['i', 'stem'], 'cnj'], [['dí', '1.icp'], ['marká', 'stem'], ['hé', 'pl.exc'], 'v'], [['tónse', 'stem'], 'obl'], [['go', '1.pot'], ['hwé', 'stem'], ['t', 'lig'], ['hé', 'pl.exc'], 'v'], [['ko', 'stem'], 'obl'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['puro', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['xo', 'stem'], 'cnj'], [['tsi', 'stem'], 'dim'], [['medio', 'stem'], 'obl'], [['Raya', 'mod'], ['thó', 'ila'], 'unkwn']]",False,0.788461538461538,
i rιmμi níhí bikwáhtibi ná rι pelótá rι mμi,['ERROR'],"[[['i', 'stem'], 'cnj'], [['rι', '3.pss'], ['mμi', 'stem'], 'n'], [['níhí', 'stem'], 'obl'], [['bi', '3.cpl'], ['kwáhti', 'stem'], ['bi', '3.obj'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['pelótá', 'stem'], 'obl'], [['rι', '3.pss'], 'n'], [['mμi', 'stem'], 'obl']]",False,0.8,
así ke xo gítónthóhnι rι dó ya,"[[['así', 'stem'], 'obl'], [['ke', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['gí', '1.obj'], ['tó', '1.prf'], ['nthóhnι', 'stem'], 'v'], [['rι', 'det'], 'det'], [['dó', '1.cpl'], 'obl'], [['ya', 'stem'], 'cnj']]","[[['así', 'stem'], 'obl'], [['ke', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['gí', '2.icp'], ['tón', 'stem'], ['thó', 'ila'], ['h', 'lig'], ['nι', 'dem'], 'v'], [['rι', 'det'], 'det'], [['dó', 'stem'], 'obl'], [['ya', 'stem'], 'cnj']]",False,0.458333333333333,
ay xo mákhμmáhá,"[[['ay', 'stem'], 'cnj'], [['xo', 'stem'], 'cnj'], [['mákhμmáhá', 'stem'], 'v']]","[[['ay', 'stem'], 'cnj'], [['xo', 'stem'], 'cnj'], [['má', 'ctrf'], ['khμ', 'stem'], ['máhá', 'mientras'], 'v']]",False,0.461538461538462,
bianda pobrehí,"[[['bi', '3.cpl'], ['an', 'stem'], ['da', '3.pot'], 'v'], [['pobrehí', 'stem'], 'unkwn']]","[[['bi', '3.cpl'], ['anda', 'prt'], 'v'], [['pobre', 'stem'], ['hí', 'pl'], 'unkwn']]",False,0.538461538461538,
bidespedí,"[[['bi', '3.cpl'], ['despe', 'stem'], ['dí', '1.icp'], 'v']]","[[['bi', '3.cpl'], ['despedí', 'stem'], 'v']]",False,0.777777777777778,
bigix k'ι rιdómi digút'íyι'wi pe xo mixayi rι kámbionι,"[[['bi', '3.cpl'], ['gix', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], ['dó', 'stem'], ['m', 'psd'], ['i', '3.icp'], 'n'], [[""digút'í"", 'stem'], [""yι'"", 'lim'], ['wi', 'prag'], 'v'], [['pe', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['xayi', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ká', 'stem'], ['m', 'med'], ['bi', '3.cpl'], ['onι', 'stem'], 'unkwn']]","[[['bi', '3.cpl'], ['gix', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['rι', '3.pss'], ['dómi', 'stem'], 'n'], [['di', '3.icp.irr'], [""gút'í"", 'stem'], [""yι'"", 'lim'], ['wi', 'prag'], 'v'], [['pe', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['xayi', 'stem'], 'v'], [['rι', 'det'], 'det'], [['kámbio', 'stem'], ['nι', 'dem'], 'unkwn']]",False,0.717391304347826,
bigμhmáhá,"[[['bi', '3.cpl'], ['gμhmáhá', 'stem'], 'v']]","[[['bi', '3.cpl'], ['gμ', 'stem'], ['h', 'lig'], ['máhá', 'mientras'], 'v']]",False,0.444444444444444,
bigμskí mämähkitá mämähkimé,"[[['bi', '3.cpl'], ['gμskí', 'stem'], 'v'], [['mä', '1.pss'], ['mähkitá', 'stem'], 'n'], [['mä', '1.pss'], ['mähki', 'stem'], ['mé', 'pl.exc'], 'n']]","[[['bi', '3.cpl'], ['gμskí', 'stem'], 'v'], [['mä', '1.pss'], ['mä', '1.pss'], ['h', 'lig'], ['ki', 'prt'], ['tá', 'stem'], 'n'], [['mä', '1.pss'], ['mä', '1.pss'], ['h', 'lig'], ['ki', 'prt'], ['mé', 'stem'], 'n']]",False,0.48,
bihiixke yι damó ya kwatú,"[[['bi', '3.cpl'], ['hiixke', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['da', '3.pot'], ['mó', 'stem'], 'obl'], [['ya', 'stem'], 'cnj'], [['kwatú', 'stem'], 'v']]","[[['bi', '3.cpl'], ['hiixke', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['damó', 'stem'], 'obl'], [['ya', 'stem'], 'cnj'], [['kwa', '1.irr'], ['tú', 'stem'], 'v']]",False,0.666666666666667,
