frase,glosa_predicha,glosa_real,eq?,accuracy-score
bi'μngí yι mbμhí nge hín dímáné gwaporá nge dímádáhní,"[[['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl'], [['nge', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dí', '1.icp'], ['má', 'ctrf'], ['né', 'stem'], 'v'], [['gwa', '1.icp.irr'], ['porá', 'stem'], 'v'], [['nge', 'stem'], 'cnj'], [['dí', '1.icp'], ['má', 'ctrf'], ['dáhní', 'stem'], 'v']]","[[['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl'], [['nge', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dí', '1.icp'], ['má', 'ctrf'], ['né', 'stem'], 'v'], [['gwa', '1.icp.irr'], ['porá', 'stem'], 'v'], [['nge', 'stem'], 'cnj'], [['dí', '1.icp'], ['má', 'ctrf'], ['dáhní', 'stem'], 'v']]",True,1.0
komo beinte o treinta pero despwés xo binkhμtsí,"[[['komo', 'stem'], 'obl'], [['beinte', 'stem'], 'obl'], [['o', 'stem'], 'obl'], [['treinta', 'stem'], 'obl'], [['pero', 'stem'], 'obl'], [['despwés', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμtsí', 'stem'], 'v']]","[[['komo', 'stem'], 'obl'], [['beinte', 'stem'], 'obl'], [['o', 'stem'], 'obl'], [['treinta', 'stem'], 'obl'], [['pero', 'stem'], 'obl'], [['despwés', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμtsí', 'stem'], 'v']]",True,1.0
xo mitahá rι ntsoyι mitá sínko pesos rι béhñι dos sinkwenta,"[[['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['tahá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ntsoyι', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['sínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['béhñι', 'stem'], 'obl'], [['dos', 'stem'], 'obl'], [['sinkwenta', 'stem'], 'obl']]","[[['xo', 'stem'], 'cnj'], [['m', 'psd'], ['i', '3.icp'], ['tahá', 'stem'], 'v'], [['rι', 'det'], 'det'], [['ntsoyι', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['sínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['béhñι', 'stem'], 'obl'], [['dos', 'stem'], 'obl'], [['sinkwenta', 'stem'], 'obl']]",True,1.0
pero phä nι rι óra nι rι tiempo dapohó,"[[['pero', 'stem'], 'obl'], [['phä', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['da', '3.pot'], ['pohó', 'stem'], 'v']]","[[['pero', 'stem'], 'obl'], [['phä', 'stem'], 'v'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], 'obl'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['da', '3.pot'], ['pohó', 'stem'], 'v']]",True,1.0
nuyι khóngi ndóndo rι tiempo yι nι rι órayι',"[[['nuyι', 'stem'], 'obl'], [['khóngi', 'stem'], 'obl'], [['ndóndo', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], [""yι'"", 'lim'], 'unkwn']]","[[['nuyι', 'stem'], 'obl'], [['khóngi', 'stem'], 'obl'], [['ndóndo', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tiempo', 'stem'], 'obl'], [['yι', 'det.pl'], 'det'], [['nι', 'stem'], 'dem'], [['rι', 'det'], 'det'], [['óra', 'stem'], [""yι'"", 'lim'], 'unkwn']]",True,1.0
puro trábáhó bale beintisínko pesos,"[[['puro', 'stem'], 'obl'], [['trábáhó', 'stem'], 'obl'], [['bale', 'stem'], 'obl'], [['beintisínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl']]","[[['puro', 'stem'], 'obl'], [['trábáhó', 'stem'], 'obl'], [['bale', 'stem'], 'obl'], [['beintisínko', 'stem'], 'obl'], [['pesos', 'stem'], 'obl']]",True,1.0
xungú sólo k'ι mikhá k'ι hä xo rι ntsítsí,"[[['xungú', 'stem'], 'dec'], [['sólo', 'stem'], 'obl'], [[""k'ι"", 'stem'], 'dem'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['hä', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['rι', 'det'], 'det'], [['ntsítsí', 'stem'], 'obl']]","[[['xungú', 'stem'], 'dec'], [['sólo', 'stem'], 'obl'], [[""k'ι"", 'stem'], 'dem'], [['m', 'psd'], ['i', '3.icp'], ['khá', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['hä', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['rι', 'det'], 'det'], [['ntsítsí', 'stem'], 'obl']]",True,1.0
hitsu xayi tsá dónúhí k'ι porke mbrιñoní,"[[['hitsu', 'stem'], 'obl'], [['xayi', 'stem'], 'obl'], [['tsá', 'stem'], 'v'], [['dó', '1.cpl'], ['nú', 'stem'], ['hí', 'pl'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['porke', 'stem'], 'cnj'], [['m', 'psd'], ['b', 'lig'], ['rι', '3.cnt'], ['ñoní', 'stem'], 'v']]","[[['hitsu', 'stem'], 'obl'], [['xayi', 'stem'], 'obl'], [['tsá', 'stem'], 'v'], [['dó', '1.cpl'], ['nú', 'stem'], ['hí', 'pl'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['porke', 'stem'], 'cnj'], [['m', 'psd'], ['b', 'lig'], ['rι', '3.cnt'], ['ñoní', 'stem'], 'v']]",True,1.0
komo xo dí'úthó yι páxí xayi k'ι rι estufa,"[[['komo', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['dí', '1.icp'], [""'ú"", 'stem'], ['thó', 'ila'], 'v'], [['yι', 'det.pl'], 'det'], [['páxí', 'stem'], 'obl'], [['xayi', 'stem'], 'obl'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['estufa', 'stem'], 'obl']]","[[['komo', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['dí', '1.icp'], [""'ú"", 'stem'], ['thó', 'ila'], 'v'], [['yι', 'det.pl'], 'det'], [['páxí', 'stem'], 'obl'], [['xayi', 'stem'], 'obl'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['estufa', 'stem'], 'obl']]",True,1.0
ntsothó dípε'ts'i yι mäthotí zíhní,"[[['ntsothó', 'stem'], 'obl'], [['dí', '1.icp'], [""pε'ts'i"", 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['mä', '1.pss'], ['thotí', 'stem'], 'n'], [['zíhní', 'stem'], 'obl']]","[[['ntsothó', 'stem'], 'obl'], [['dí', '1.icp'], [""pε'ts'i"", 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['mä', '1.pss'], ['thotí', 'stem'], 'n'], [['zíhní', 'stem'], 'obl']]",True,1.0
