frase,glosa_predicha,glosa_real,eq?,accuracy-score
ndóphμdi dópεphí bit'μngí bimähtratágí ko chíkóhté,"[[['n', 'psd'], ['dó', '1.cpl'], ['phμdi', 'stem'], 'v'], [['dó', '1.cpl'], ['pεphí', 'stem'], 'v'], [['bi', '3.cpl'], ['t', 'lig'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['bi', '3.cpl'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v'], [['ko', 'stem'], 'obl'], [['chíkóhté', 'stem'], 'obl']]","[[['n', 'psd'], ['dó', '1.cpl'], ['phμdi', 'stem'], 'v'], [['dó', '1.cpl'], ['pεphí', 'stem'], 'v'], [['bi', '3.cpl'], ['t', 'lig'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['bi', '3.cpl'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v'], [['ko', 'stem'], 'obl'], [['chíkóhté', 'stem'], 'obl']]",True,1.0
bi'μngí yι mbμhí nge hín dímáné gwaporá nge dímádáhní,"[[['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl'], [['nge', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dí', '1.icp'], ['má', 'ctrf'], ['né', 'stem'], 'v'], [['gwa', '1.icp.irr'], ['porá', 'stem'], 'v'], [['nge', 'stem'], 'cnj'], [['dí', '1.icp'], ['má', 'ctrf'], ['dáhní', 'stem'], 'v']]","[[['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl'], [['nge', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dí', '1.icp'], ['má', 'ctrf'], ['né', 'stem'], 'v'], [['gwa', '1.icp.irr'], ['porá', 'stem'], 'v'], [['nge', 'stem'], 'cnj'], [['dí', '1.icp'], ['má', 'ctrf'], ['dáhní', 'stem'], 'v']]",True,1.0
dótsú ko mipihkí yι k'iñá pihkí yι züwí,"[[['dó', '1.cpl'], ['tsú', 'stem'], 'v'], [['ko', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [[""k'iñá"", 'stem'], 'obl'], [['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['züwí', 'stem'], 'obl']]","[[['dó', '1.cpl'], ['tsú', 'stem'], 'v'], [['ko', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [[""k'iñá"", 'stem'], 'obl'], [['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['züwí', 'stem'], 'obl']]",True,1.0
pidómμihthó pidók'iti eskwéla pe hín dó'aya mähank'ι,"[[['pi', 'it'], ['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'v'], [['pi', 'it'], ['dó', '1.cpl'], [""k'iti"", 'stem'], 'v'], [['eskwéla', 'stem'], 'obl'], [['pe', 'stem'], 'obl'], [['hín', 'stem'], 'neg'], [['dó', '1.cpl'], [""'aya"", 'stem'], 'v'], [[""mähank'ι"", 'stem'], 'obl']]","[[['pi', 'it'], ['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'v'], [['pi', 'it'], ['dó', '1.cpl'], [""k'iti"", 'stem'], 'v'], [['eskwéla', 'stem'], 'obl'], [['pe', 'stem'], 'obl'], [['hín', 'stem'], 'neg'], [['dó', '1.cpl'], [""'aya"", 'stem'], 'v'], [[""mähank'ι"", 'stem'], 'obl']]",True,1.0
digehñawi xo pidómábεphí mähank'ι,"[[['di', 'prt'], ['gehña', 'mod'], ['wi', 'prag'], 'unkwn'], [['xo', 'stem'], 'cnj'], [['pi', 'it'], ['dó', '1.cpl'], ['má', 'ctrf'], ['bεphí', 'stem'], 'v'], [[""mähank'ι"", 'stem'], 'obl']]","[[['di', 'prt'], ['gehña', 'mod'], ['wi', 'prag'], 'unkwn'], [['xo', 'stem'], 'cnj'], [['pi', 'it'], ['dó', '1.cpl'], ['má', 'ctrf'], ['bεphí', 'stem'], 'v'], [[""mähank'ι"", 'stem'], 'obl']]",True,1.0
xo 'á dañú k'ι rι xμthι nikhι darμhkí yι míngwá,"[[['xo', 'stem'], 'cnj'], [[""'á"", 'stem'], 'p.loc'], [['dañú', 'stem'], 'obl'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['xμthι', 'stem'], 'obl'], [['nikhι', 'stem'], 'obl'], [['da', '3.pot'], ['rμhkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['míngwá', 'stem'], 'obl']]","[[['xo', 'stem'], 'cnj'], [[""'á"", 'stem'], 'p.loc'], [['dañú', 'stem'], 'obl'], [[""k'ι"", 'stem'], 'dem'], [['rι', 'det'], 'det'], [['xμthι', 'stem'], 'obl'], [['nikhι', 'stem'], 'obl'], [['da', '3.pot'], ['rμhkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['míngwá', 'stem'], 'obl']]",True,1.0
to mitá ná rι wá to mitá ná rι 'ála to mitá ná rι píchúgá ná rι tripa,"[[['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['wá', 'stem'], 'obl'], [['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [[""'ála"", 'stem'], 'obl'], [['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['píchúgá', 'stem'], 'obl'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tripa', 'stem'], 'obl']]","[[['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['wá', 'stem'], 'obl'], [['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [[""'ála"", 'stem'], 'obl'], [['to', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['tá', 'stem'], 'v'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['píchúgá', 'stem'], 'obl'], [['ná', 'stem'], 'obl'], [['rι', 'det'], 'det'], [['tripa', 'stem'], 'obl']]",True,1.0
dadúnthí k'ι yι tμge árto tμge árto kιbáyo,"[[['da', '3.pot'], ['dúnthí', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['yι', 'det.pl'], 'det'], [['tμge', 'stem'], 'obl'], [['árto', 'stem'], 'obl'], [['tμge', 'stem'], 'obl'], [['árto', 'stem'], 'obl'], [['kιbáyo', 'stem'], 'obl']]","[[['da', '3.pot'], ['dúnthí', 'stem'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['yι', 'det.pl'], 'det'], [['tμge', 'stem'], 'obl'], [['árto', 'stem'], 'obl'], [['tμge', 'stem'], 'obl'], [['árto', 'stem'], 'obl'], [['kιbáyo', 'stem'], 'obl']]",True,1.0
dagehí k'ι yι míngwá xodatsoyιhíyι'wi,"[[['da', '3.pot'], ['ge', 'stem'], ['hí', 'pl'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['yι', 'det.pl'], 'det'], [['míngwá', 'stem'], 'obl'], [['xo', 'pues'], ['da', '3.pot'], ['tsoyι', 'stem'], ['hí', 'pl'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['da', '3.pot'], ['ge', 'stem'], ['hí', 'pl'], 'v'], [[""k'ι"", 'stem'], 'dem'], [['yι', 'det.pl'], 'det'], [['míngwá', 'stem'], 'obl'], [['xo', 'pues'], ['da', '3.pot'], ['tsoyι', 'stem'], ['hí', 'pl'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1.0
komo beinte o treinta pero despwés xo binkhμtsí,"[[['komo', 'stem'], 'obl'], [['beinte', 'stem'], 'obl'], [['o', 'stem'], 'obl'], [['treinta', 'stem'], 'obl'], [['pero', 'stem'], 'obl'], [['despwés', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμtsí', 'stem'], 'v']]","[[['komo', 'stem'], 'obl'], [['beinte', 'stem'], 'obl'], [['o', 'stem'], 'obl'], [['treinta', 'stem'], 'obl'], [['pero', 'stem'], 'obl'], [['despwés', 'stem'], 'obl'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμtsí', 'stem'], 'v']]",True,1.0
