frase,glosa predicha,glosa real,eq?,accuracy-score
ndóphμdi dópεphí bit'μngí bimähtratágí ko chíkóhté,"[[['n', 'psd'], ['dó', '1.cpl'], ['phμdi', 'stem'], 'v'], [['dó', '1.cpl'], ['pεphí', 'stem'], 'v'], [['bi', '3.cpl'], [""t'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['bi', '3.cpl'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v'], [['ko', 'stem'], 'obl'], [['chíkóhté', 'stem'], 'obl']]","[[['n', 'psd'], ['dó', '1.cpl'], ['phμdi', 'stem'], 'v'], [['dó', '1.cpl'], ['pεphí', 'stem'], 'v'], [['bi', '3.cpl'], ['t', 'lig'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['bi', '3.cpl'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v'], [['ko', 'stem'], 'obl'], [['chíkóhté', 'stem'], 'obl']]",False,0.9555555555555556
bi'μngí yι mbμhí nge hín dímáné gwaporá nge dímádáhní,"[[['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl'], [['nge', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dí', '1.icp'], ['má', 'ctrf'], ['né', 'stem'], 'v'], [['gwa', '1.icp.irr'], ['porá', 'stem'], 'v'], [['nge', 'stem'], 'cnj'], [['dí', '1.icp'], ['má', 'ctrf'], ['dáhní', 'stem'], 'v']]","[[['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl'], [['nge', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dí', '1.icp'], ['má', 'ctrf'], ['né', 'stem'], 'v'], [['gwa', '1.icp.irr'], ['porá', 'stem'], 'v'], [['nge', 'stem'], 'cnj'], [['dí', '1.icp'], ['má', 'ctrf'], ['dáhní', 'stem'], 'v']]",True,1.0
por eso ngamá'μngí,"[[['por', 'stem'], 'obl'], [['eso', 'stem'], 'obl'], [['n', 'psd'], ['ga', '3.pls'], ['má', 'ctrf'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v']]","[[['por', 'stem'], 'obl'], [['eso', 'stem'], 'obl'], [['n', 'psd'], ['ga', '3.pls'], ['má', 'ctrf'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v']]",True,1.0
bμ mbi'μngí ya dóráhiι'wi,"[[['bμ', 'stem'], 'cnj'], [['m', 'med'], ['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['ya', 'stem'], 'cnj'], [['dó', '1.cpl'], ['ráhi', 'stem'], [""ι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['bμ', 'stem'], 'cnj'], [['m', 'med'], ['bi', '3.cpl'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v'], [['ya', 'stem'], 'cnj'], [['dó', '1.cpl'], ['ráhi', 'stem'], [""ι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1.0
hín dóné dópεhyι'wi,"[[['hín', 'stem'], 'neg'], [['dó', '1.cpl'], ['né', 'stem'], 'v'], [['dó', '1.cpl'], ['pε', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['hín', 'stem'], 'neg'], [['dó', '1.cpl'], ['né', 'stem'], 'v'], [['dó', '1.cpl'], ['pε', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1.0
ya hín dóné dómμikó komo mi'μngí,"[[['ya', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dó', '1.cpl'], ['né', 'stem'], 'v'], [['dó', '1.cpl'], ['mμi', 'stem'], ['kó', 'stem'], 'v'], [['komo', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v']]","[[['ya', 'stem'], 'cnj'], [['hín', 'stem'], 'neg'], [['dó', '1.cpl'], ['né', 'stem'], 'v'], [['dó', '1.cpl'], ['mμi', 'stem'], ['kó', '2'], 'v'], [['komo', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], [""'μn"", 'stem'], ['gí', '1.obj'], 'v']]",False,0.9259259259259259
despwés ya dómμihthó mängú,"[[['despwés', 'stem'], 'obl'], [['ya', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'v'], [['mä', '1.pss'], ['ngú', 'stem'], 'n']]","[[['despwés', 'stem'], 'obl'], [['ya', 'stem'], 'cnj'], [['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'v'], [['mä', '1.pss'], ['ngú', 'stem'], 'n']]",True,1.0
dómárιnkhó phóphání,"[[['dó', '1.cpl'], ['má', 'stem'], ['rι', 'det'], ['nkhó', 'stem'], 'v'], [['phóphání', 'stem'], 'unkwn']]","[[['dó', '1.cpl'], ['má', 'ctrf'], ['rι', 'det'], ['nkhó', 'stem'], 'v'], [['phó', 'stem'], ['phání', 'stem'], 'unkwn']]",False,0.8333333333333334
dómákhó tsiphóhphání,"[[['dó', '1.cpl'], ['má', 'ctrf'], ['khó', 'stem'], 'v'], [['tsi', 'dim'], ['phóhphání', 'stem'], 'unkwn']]","[[['dó', '1.cpl'], ['má', 'ctrf'], ['khó', 'stem'], 'v'], [['tsi', 'dim'], ['phó', 'stem'], ['h', 'lig'], ['phání', 'stem'], 'unkwn']]",False,0.8947368421052632
bopihkí yι k'iñá,"[[['bo', '3.cpl'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [[""k'iñá"", 'stem'], 'obl']]","[[['bo', '3.cpl'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [[""k'iñá"", 'stem'], 'obl']]",True,1.0
bopihkí yι züwí,"[[['bo', '3.cpl'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['zü', 'stem'], ['wí', 'dual'], 'obl']]","[[['bo', '3.cpl'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['züwí', 'stem'], 'obl']]",False,0.8461538461538461
dótsú,"[[['dó', '1.cpl'], ['tsú', 'stem'], 'v']]","[[['dó', '1.cpl'], ['tsú', 'stem'], 'v']]",True,1.0
mähank'ι dórágí,"[[[""mähank'ι"", 'stem'], 'obl'], [['dó', '1.cpl'], ['rá', 'stem'], ['gí', '1.obj'], 'v']]","[[[""mähank'ι"", 'stem'], 'obl'], [['dó', '1.cpl'], ['rá', 'stem'], ['gí', '1.obj'], 'v']]",True,1.0
dótsú ko mipihkí yι k'iñá pihkí yι züwí,"[[['dó', '1.cpl'], ['tsú', 'stem'], 'v'], [['ko', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [[""k'iñá"", 'stem'], 'obl'], [['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['zü', 'stem'], ['wí', 'dual'], 'obl']]","[[['dó', '1.cpl'], ['tsú', 'stem'], 'v'], [['ko', 'stem'], 'obl'], [['m', 'psd'], ['i', '3.icp'], ['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [[""k'iñá"", 'stem'], 'obl'], [['pihkí', 'stem'], 'v'], [['yι', 'det.pl'], 'det'], [['züwí', 'stem'], 'obl']]",False,0.9375
digehñawi pidómμihthówi,"[[['di', 'prt'], ['gehña', 'mod'], ['wi', 'prag'], 'unkwn'], [['pi', 'it'], ['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], ['wi', 'prag'], 'v']]","[[['di', 'prt'], ['gehña', 'mod'], ['wi', 'prag'], 'unkwn'], [['pi', 'it'], ['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], ['wi', 'prag'], 'v']]",True,1.0
pidómμihthó pidók'iti eskwéla pe hín dó'aya mähank'ι,"[[['pi', 'it'], ['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'v'], [['pi', 'it'], ['dó', '1.cpl'], [""k'iti"", 'stem'], 'v'], [['eskwéla', 'stem'], 'obl'], [['pe', 'stem'], 'obl'], [['hín', 'stem'], 'neg'], [['dó', '1.cpl'], [""'aya"", 'stem'], 'v'], [['mä', '1.pss'], ['han', 'stem'], [""k'ι"", 'dem'], 'obl']]","[[['pi', 'it'], ['dó', '1.cpl'], ['mμi', 'stem'], ['h', 'lig'], ['thó', 'ila'], 'v'], [['pi', 'it'], ['dó', '1.cpl'], [""k'iti"", 'stem'], 'v'], [['eskwéla', 'stem'], 'obl'], [['pe', 'stem'], 'obl'], [['hín', 'stem'], 'neg'], [['dó', '1.cpl'], [""'aya"", 'stem'], 'v'], [[""mähank'ι"", 'stem'], 'obl']]",False,0.8695652173913043
xathó dóphädi xo binkhμskí,"[[['xathó', 'stem'], 'obl'], [['dó', '1.cpl'], ['phädi', 'stem'], 'v'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμskí', 'stem'], 'v']]","[[['xathó', 'stem'], 'obl'], [['dó', '1.cpl'], ['phädi', 'stem'], 'v'], [['xo', 'stem'], 'cnj'], [['bi', '3.cpl'], ['nkhμskí', 'stem'], 'v']]",True,1.0
digehñawi xo pidómábεphí mähank'ι,"[[['di', 'prt'], ['gehña', 'mod'], ['wi', 'prag'], 'unkwn'], [['xo', 'stem'], 'cnj'], [['pi', 'it'], ['dó', '1.cpl'], ['má', 'ctrf'], ['bεphí', 'stem'], 'v'], [['mä', '1.pss'], ['han', 'stem'], [""k'ι"", 'dem'], 'obl']]","[[['di', 'prt'], ['gehña', 'mod'], ['wi', 'prag'], 'unkwn'], [['xo', 'stem'], 'cnj'], [['pi', 'it'], ['dó', '1.cpl'], ['má', 'ctrf'], ['bεphí', 'stem'], 'v'], [[""mähank'ι"", 'stem'], 'obl']]",False,0.8
xo dó'aya,"[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], [""'aya"", 'stem'], 'v']]","[[['xo', 'stem'], 'cnj'], [['dó', '1.cpl'], [""'aya"", 'stem'], 'v']]",True,1.0
dómμik'úyι'wi,"[[['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['dó', '1.cpl'], ['mμi', 'stem'], [""k'ú"", 'loc'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1.0
dópεhyι'wi,"[[['dó', '1.cpl'], ['pε', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]","[[['dó', '1.cpl'], ['pε', 'stem'], ['h', 'lig'], [""yι'"", 'lim'], ['wi', 'prag'], 'v']]",True,1.0
mitsμhgí rι 'yé,"[[['m', 'psd'], ['i', '3.icp'], ['tsμ', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v'], [['rι', 'det'], 'det'], [[""'yé"", 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['tsμ', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v'], [['rι', 'det'], 'det'], [[""'yé"", 'stem'], 'obl']]",True,1.0
mipóhgí,"[[['m', 'psd'], ['i', '3.icp'], ['pó', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v']]","[[['m', 'psd'], ['i', '3.icp'], ['pó', 'stem'], ['h', 'lig'], ['gí', '1.obj'], 'v']]",True,1.0
mimähtratágí yι mbμhí,"[[['m', 'psd'], ['i', '3.icp'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl']]","[[['m', 'psd'], ['i', '3.icp'], ['mähtratá', 'stem'], ['gí', '1.obj'], 'v'], [['yι', 'det.pl'], 'det'], [['mbμhí', 'stem'], 'obl']]",True,1.0
